NSC,Drug_Name,ChEMBL_ID,SMILES,SMILES_Source,canonical_smiles,InChIKey,drug_id
26980,Mitomycin,CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,ChEMBL,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,NWIBSHFKIJFRCO-WUDYKRTCSA-N,19
27640,Floxuridine,CHEMBL601287,N[C@@H](Cc1ccccc1)C(=O)OC[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)C[C@@H]1O,ChEMBL,N[C@@H](Cc1ccccc1)C(=O)OC[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)C[C@@H]1O,KRZLVZKHCSMHQZ-BYNSBNAKSA-N,20
32065,Hydroxyurea,CHEMBL467,NC(=O)NO,ChEMBL,NC(=O)NO,VSNHCAURESNICA-UHFFFAOYSA-N,21
34462,Uracil mustard,CHEMBL1488,Oc1ncc(N(CCCl)CCCl)c(O)n1,ChEMBL,Oc1ncc(N(CCCl)CCCl)c(O)n1,IDPUKCWIGUEADI-UHFFFAOYSA-N,22
38721,Mitotane,CHEMBL1670,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,ChEMBL,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,JWBOIMRXGHLCPP-UHFFFAOYSA-N,23
45388,Dacarbazine,CHEMBL476,CN(C)/N=N/c1[nH]cnc1C(N)=O,ChEMBL,CN(C)/N=N/c1[nH]cnc1C(N)=O,FDKXTQMXEQVLRF-ZHACJKMWSA-N,24
45923,Methoxsalen,CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,ChEMBL,COc1c2occc2cc2ccc(=O)oc12,QXKHYNVANLEOEG-UHFFFAOYSA-N,25
49842,Vinblastine sulfate,CHEMBL376464,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,ChEMBL,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,KDQAABAKXDWYSZ-JKDPCDLQSA-N,26
63878,Cytarabine hydrochloride,CHEMBL1256472,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,ChEMBL,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,KCURWTAZOZXKSJ-JBMRGDGGSA-N,27
66847,Thalidomide,CHEMBL426123,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,ChEMBL,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,UEJJHQNACJXSKW-VIFPVBQESA-N,28
