NSC
740.0
750.0
752.0
755.0
762.0
1390.0
3053.0
3088.0
6396.0
8806.0
9706.0
13875.0
14229.0
18509.0
19893.0
24559.0
25154.0
26271.0
26980.0
27640.0
32065.0
34462.0
38721.0
45388.0
45923.0
49842.0
63878.0
66847.0
67574.0
71423.0
77213.0
79037.0
82151.0
85998.0
92859.0
102816.0
105014.0
109724.0
118218.0
119875.0
122758.0
122819.0
123127.0
125066.0
125973.0
127716.0
138783.0
141540.0
169780.0
180973.0
218321.0
226080.0
241240.0
246131.0
256439.0
256942.0
266046.0
279836.0
296961.0
362856.0
369100.0
409962.0
606869.0
608210.0
609699.0
613327.0
628503.0
673596.0
681239.0
686673.0
698037.0
701852.0
702294.0
707389.0
712807.0
713563.0
715055.0
718781.0
719276.0
719344.0
719345.0
719627.0
721517.0
732517.0
733504.0
737754.0
743414.0
745750.0
747599.0
747971.0
747972.0
747973.0
747974.0
749226.0
750690.0
753082.0
754143.0
754230.0
755986.0
756645.0
757441.0
760766.0
761431.0
761432.0
763371.0
